"","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"GPATCH3",1217,501,124,94,305,397,215,194,1250,0,821
"GPATCH4",1,744,408,403,496,0,414,361,120,423,60
"GPATCH8",0,737,443,115,369,670,294,402,965,313,820
"GPBAR1",0,476,127,0,145,391,11,74,106,547,132
"GPBP1",1,1018,1991,1500,3059,2087,2965,3741,1321,51,1052
"GPBP1L1",1,697,353,1571,3787,366,3087,2553,151,0,292
"GPC1",2,298,648,1032,130,0,39,39,0,382,735
"GPC2",0,826,122,15,5,0,45,45,105,771,0
"GPC3",2408,1002,1,36,74,0,5,150,59,0,36
"GPC4",0,906,0,86,37,78,100,240,67,1,0
"GPC5",0,705,0,24,99,0,25,256,37,4,0
"GPC6",1,1037,0,77,196,0,33,187,0,0,128
"GPCPD1",1,10,1018,644,1780,1401,2332,2218,613,0,2295
"GPD1",0,393,0,0,87,0,3,32,0,95,0
"GPD1L",0,238,264,96,56,106,145,263,131,0,114
