"","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"CLCN1",0,9.47884623346636,0,0,0.797985495554488,0.947937290116624,0,0.0148349682108152,0,0,0
"CLCN2",0.0241963474539088,24.1134385166304,4.94561658123548,2.83155450338717,1.76559222729114,0,0.914255504092996,0.96618282194791,0.999975515642052,0,0
"CLCN3",4.07423977548642,0,0,1.77463037443238,0.989910486362969,0.427516530733553,1.33953416445242,1.40331317662102,0,0,0.674517439761434
"CLCN4",0.00463774571946087,1.97938092268935,0,0.0856938589541836,0,0,0.259350100127425,0.357151239138501,0.759821249207182,0,0
"CLCN5",0,0.971950282656887,0,0.655647965131039,0.626247802757366,0.291459452241166,0.336186446692703,0.625366989346888,0.118816911343265,0,0.43489200419694
"CLCN6",0,6.50496291517271,0,2.90953542715758,4.21912874389911,2.37294032169473,4.10869467936398,5.44028316064126,0,0,0
"CLCN7",0.0124140435051156,22.597206040267,13.0338435842464,11.163172382962,36.0247561547514,16.5250893284859,26.4739070353929,26.2192213338439,8.90494118014903,32.244657164115,5.8190335821031
"CLCNKA",0,0,0,0.683447348571826,0,0,0,0.0351659622062237,0,24.7217136057682,3.03732014745344
"CLCNKB",0,0,0,0,0,0,0,0,0,0,0
"CLDN1",0.201192939863331,24.0909572323111,81.6989880416753,59.6871498837622,7.94693786054817,1.51784737486703,3.37868722642886,0.510083972977544,0,44.1079577999133,67.8439117260364
"CLDN10",0,1.97782144327881,0,0,0.134128194823306,0,0,0,0.204061625590208,12.06554042329,0
"CLDN11",0,8.59426334900537,0,0,0,0,0,0.0297584540069396,0.569786490936209,11.2743748327946,0
"CLDN12",0.00577103065791751,1.43473521530122,0.373026663108408,1.35958490255177,0.901604033442733,0.283570047073904,0.314002889767188,0.337433896031912,0.0809204910617709,0,0
"CLDN14",0,5.24099303815555,0,0,0.235492494868885,0,0.0243884523593303,0.073639007345285,0,5.75418720524714,1.07108821867652
"CLDN15",0.0556177933077735,73.2303937232584,14.5743697271271,11.2188042542744,31.4265484698747,31.9995525413963,27.1515132150286,26.2538630669881,13.7912794435829,76.7949483724577,10.7517519153981
"CLDN16",0,4.20669202544025,0,0.0771700950893256,0.296938051157329,0,0.151493944171861,0.0714725015095743,0,2.43203077097592,0.528719131776306
"CLDN17",0,409.569509835537,0,15.7985958555391,0,0,1.82438211236106,0,0,628.635046246542,0
"CLDN18",0,0,0,0,0,0,0,0,0,0,0
"CLDN19",0.156764354157813,67.7988134662001,0,0,0,0,0,0,0,0,0
"CLDN2",0,13.3708609587347,0,0,0,0,0,0,1.02555789178566,0,1.96028263906306
"CLDN20",0,18.3468004496174,0,0,0,0,0,0,0,38.7694735100885,0
"CLDN22",0,158.899010662991,42.3589053091289,4.7662286372139,0,0,0,0,13.7061704449159,0,0.294189984410781
"CLDN23",0,188.259685088745,0,10.141266881631,36.3196041026405,29.1104707045479,8.12057068077339,12.3585798165689,0,0,0
