"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATG9A",2031.54584644594,-0.0184926905061269,0.0815296403619375,-0.226821686248482,0.820562399968658,0.910327472533079
"METTL16",2010.35264705879,0.052752731407049,0.0580422875427209,0.908867200801164,0.363420228887113,0.586710139842666
"FTO",2519.33150704391,-0.0761020425829906,0.0634664880743783,-1.19909017958902,0.230492882227958,0.453174180908454
"POGLUT2",468.855207439628,0.1840864896423,0.0969463287222043,1.89884951878676,0.0575842642574748,0.194361522017417
"ELOVL6",862.589105227419,0.167000558909764,0.125983002001298,1.32558008824114,0.184978825276963,0.397002212246277
"FASTKD3",400.095983798545,0.108995685278055,0.0777835490203012,1.40126911989587,0.161133611783531,0.365189824999707
"TMEM109",7922.36191361419,0.0512435045914068,0.0652926778842506,0.784827736461509,0.432554575538583,0.645777972372654
"C2orf49",980.562097539326,0.13063470111397,0.0481526796221145,2.71292692616789,0.00666918114414485,0.0518432249853507
"DSCC1",557.85108683538,0.284508950631981,0.0899600575900758,3.16261414513999,0.00156359424196294,0.020751597906571
"DCTPP1",1719.45565113464,0.248559959975042,0.0805676008870018,3.0851106057341,0.00203476469093934,0.0245967688072149
"CCDC86",1553.82339347624,-0.0402810462038021,0.0856420876717385,-0.470341712805942,0.638110900237148,0.798112254960745
"MLPH",341.705705390813,0.109953475739945,0.1857528545626,0.591934245096032,0.553894620998343,0.74163374722465
"WDR77",1326.60840380209,0.0837345805745712,0.0599032680398267,1.39782992338415,0.162164146242661,0.366760415872277
"SLC25A23",2665.03440500322,0.485441620819772,0.122144399461281,3.97432565848959,7.05789386265678e-05,0.00300981350282839
"SMIM7",1069.6402859031,0.139653318016994,0.0673549789734903,2.07339264513703,0.0381357528686561,0.151279031609465
"ALG12",660.739288416351,0.0349266630561839,0.0587523098400541,0.594473019890918,0.552195782470006,0.740628063615753
"ZNF426",1104.04579898998,-0.339907939321849,0.119482183889348,-2.84484203633772,0.00444334523090567,0.0398580968214597
"TMUB2",2064.93731161237,0.130164328129927,0.0443129423125631,2.93738852211185,0.00330989147184999,0.033566342140097
"TRAPPC6A",674.602091014279,0.55434658434813,0.12201997104469,4.54308077277859,5.5437996758258e-06,0.000515030620233187
"METTL22",618.937325164073,0.0782234194175885,0.0652889071485659,1.19811194326764,0.230873439883208,0.453437112248924
"CARD14",603.100350472399,-0.23800190226477,0.129442671715071,-1.83866648541263,0.0659642557546729,0.211266908799621
"CHAC1",403.751090763024,-0.306914201094821,0.146861644610307,-2.0898186310606,0.0366340950807474,0.147838381879626
"BBLN",2404.53046524252,0.0842947325947804,0.0879795029535826,0.958117854328567,0.33800333328937,0.562915166447196
"UQCC3",314.636731049879,0.062058769304952,0.089106317747801,0.69645756747123,0.48614232195549,0.690346172121214
"CSTPP1",1031.91870229628,0.17368976351309,0.0752006317781236,2.30968489766887,0.0209056055268376,0.104136096521949
"C1orf116",6151.21771725318,-0.336355513283187,0.137096481434764,-2.45342192420335,0.0141504254031699,0.082523442265633
"TAF1D",2243.68963117535,-0.346331283899258,0.10908615826239,-3.17484169775428,0.00149918264181948,0.0202147179191269
"RNF26",2170.17401333526,-0.150648547514973,0.0709852640629244,-2.12225099819917,0.0338166660230534,0.140113071631842
"MAPKAP1",4776.6382211283,-0.00570039747979192,0.0483535435997728,-0.117889963287379,0.906154845926208,0.955727711997014
"DEK",10228.9590501896,0.162783089928612,0.0724449239488402,2.24699096990657,0.0246406042201795,0.11437062064676
"DHX58",1083.03945319587,-0.195205908455933,0.103423766974879,-1.88743761869888,0.0591014893374426,0.19719732728276
"NDUFAF5",489.024370489157,0.21064390095678,0.0789626968692473,2.66763812924957,0.00763864824545159,0.0561257741525514
"TMEM185B",3966.25507744147,0.159514908416028,0.0640600324846637,2.49008472567066,0.0127712646185048,0.0774024865222795
"APOO",646.390695990335,0.0957950731913085,0.0781325000644047,1.22605923415153,0.220176385154906,0.440385919419291
"RETREG2",5267.59180968471,0.0573124189675262,0.0509937411489771,1.12391085015883,0.261050847883375,0.485654742211264
"DERL1",5204.8870182907,0.000741548990573286,0.0487907263893737,0.0151985642651713,0.987873767080849,0.994611822331874
"CCDC28B",211.567552538545,0.593751385130859,0.136930409725691,4.33615430144629,1.44997177320076e-05,0.00103099650449886
"PHF23",2586.87953745188,-0.0672230948178857,0.0584274063234066,-1.1505404577741,0.249921340731809,0.473976447055257
"MBOAT7",4415.58069233314,0.0117217796493917,0.0625157843767387,0.187501120976949,0.851267744862776,0.927811304496019
